code2	country	state	date	type	count	lockdown	population	countPC	growth	growthPC
DK	Denmark	""	2020-01-22	Confirmed	0	2020-03-11	5837213	0		
DK	Denmark	""	2020-01-22	Deaths	0	2020-03-11	5837213	0		
DK	Denmark	""	2020-01-23	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-23	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-24	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-24	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-25	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-25	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-26	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-26	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-27	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-27	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-28	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-28	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-29	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-29	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-30	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-30	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-31	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-01-31	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-01	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-01	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-02	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-02	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-03	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-03	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-04	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-04	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-05	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-05	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-06	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-06	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-07	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-07	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-08	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-08	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-09	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-09	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-10	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-10	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-11	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-11	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-12	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-12	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-13	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-13	Deaths	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-14	Confirmed	0	2020-03-11	5837213	0	0	0
DK	Denmark	""	2020-02-14	Deaths	0	2020-03-11	5837213	0	0	0
