object	ms	R	v	mt	Mt	D	Rmodern	vModern
S.Mag.	..	0.032	170	1.5	-16	0.03	0.0617	158.1
L.Mag.	..	0.03	290	0.5	-17.2	0.03	0.04997	278
N.G.C.6822	..	0.214	-130	9	-12.7	0.22	0.5	-57
598	..	0.263	-70	7	-15.1	0.26	0.84	-179
221	..	0.275	-185	8.8	-13.4	0.28	0.763	-200
224	..	0.275	-220	5	-17.2	0.28	0.778	-301
5457	17	0.45	200	9.9	-13.3	0.44	6.4	241
4736	17.3	0.5	290	8.4	-15.1	0.5	4.91	308
5194	17.3	0.5	270	7.4	-16.1	0.5	9.50920245398773	463.2
4449	17.8	0.63	200	9.5	-14.5	0.63	3.6	204
4214	18.3	0.8	300	11.3	-13.2	0.79	3.1	291
3031	18.5	0.9	-30	8.3	-16.4	0.87	3.68098159509202	-33.9
3627	18.5	0.9	650	9.1	-15.7	0.91	9.6	696
4826	18.5	0.9	150	9	-15.7	0.87	5.3	410
5236	18.5	0.9	500	10.4	-14.4	0.91	4.5	508
1068	18.7	1	920	9.1	-15.9	1	14.4	1137
5055	19	1.1	450	9.6	-15.6	1.1	8.99	484
7331	19	1.1	500	10.4	-14.8	1.1	12.2	816
4258	19.5	1.4	500	8.7	-17	1.38	7	448
4151	20	1.7	960	12	-14.2	1.74	15.8	995
4382	..	2	500	10	-16.5	2	18.5	729
4472	..	2	850	8.8	-17.7	2	17.14	997.8
4486	..	2	800	9.7	-16.8	2	16.4	1284
4649	..	2	1090	9.5	-17	2	17.38	1108
